time,mouse_x,mouse_y
1712558191.662,333,323
1712558192.664,365,310
1712558193.666,719,503
1712558194.668,848,810
1712558195.669,1007,690
1712558196.671,958,652
1712558197.673,958,665
1712558198.675,925,626
1712558199.677,421,182
1712558200.678,266,24
1712558201.680,266,24
1712558202.682,226,19
1712558203.685,455,449
1712558204.709,342,714
1712558205.724,349,680
1712558206.726,332,661
1712558207.744,339,643
1712558208.762,288,567
1712558209.778,111,88
1712558210.790,73,182
1712558211.799,144,296
1712558212.817,139,113
1712558213.819,196,569
1712558214.826,201,569
1712558215.828,212,578
1712558216.830,212,579
1712558217.831,201,542
1712558218.833,760,736
1712558219.845,763,731
1712558220.863,1369,561
1712558221.865,1341,638
1712558222.883,1340,632
1712558223.901,723,543
1712558224.903,993,571
1712558225.905,359,578
1712558226.909,411,547
1712558227.926,257,57
1712558228.940,226,20
1712558229.942,278,58
1712558230.946,192,111
1712558231.948,179,113
1712558232.950,214,461
1712558233.971,251,471
1712558234.973,677,501
1712558235.980,675,501
1712558236.990,662,503
1712558238.010,662,503
1712558239.012,662,503
1712558240.014,662,503
1712558241.016,662,503
1712558242.018,662,503
1712558243.020,662,503
1712558244.021,662,503
1712558245.023,662,503
1712558246.025,662,503
1712558247.027,662,503
1712558248.028,662,503
1712558249.030,662,503
1712558250.032,662,503
1712558251.034,662,503
1712558252.046,913,454
1712558253.048,527,377
1712558254.052,527,377
1712558255.054,527,377
1712558256.056,527,377
1712558257.058,527,377
1712558258.059,527,377
1712558259.061,527,377
1712558260.063,527,377
1712558261.065,527,377
1712558262.067,527,377
1712558263.069,527,377
1712558264.070,527,377
1712558265.072,527,377
1712558266.074,527,377
1712558267.076,527,377
1712558268.078,527,377
1712558269.080,527,377
1712558270.081,527,377
1712558271.083,527,377
1712558272.085,527,377
1712558273.086,527,377
1712558274.088,527,377
1712558275.090,527,377
1712558276.092,527,377
1712558277.094,527,377
1712558278.096,527,377
1712558279.097,527,377
1712558280.099,527,377
1712558281.101,527,377
1712558282.103,527,377
1712558283.105,527,377
1712558284.107,527,377
1712558285.109,527,377
1712558286.110,527,377
1712558287.112,527,377
1712558288.114,527,377
1712558289.116,527,377
1712558290.118,527,377
1712558291.119,527,377
1712558292.121,527,377
1712558293.123,527,377
1712558294.125,527,377
1712558295.126,527,377
1712558296.128,527,377
1712558297.130,527,377
1712558298.132,527,377
1712558299.134,527,377
1712558300.135,527,377
1712558301.137,527,377
1712558302.139,527,377
1712558303.141,527,377
1712558304.142,527,377
1712558305.144,527,377
1712558306.146,527,377
1712558307.148,527,377
1712558308.149,527,377
1712558309.151,527,377
1712558310.153,527,377
1712558311.155,527,377
1712558312.156,527,377
1712558313.158,527,377
1712558314.160,527,377
1712558315.162,527,377
1712558316.163,527,377
1712558317.165,527,377
1712558318.167,527,377
1712558319.169,527,377
1712558320.171,527,377
1712558321.172,527,377
1712558322.174,527,377
1712558323.176,527,377
1712558324.178,527,377
1712558325.180,527,377
1712558326.182,527,377
1712558327.184,527,377
1712558328.185,527,377
1712558329.187,527,377
1712558330.189,527,377
1712558331.191,527,377
1712558332.193,527,377
1712558333.195,527,377
1712558334.196,527,377
1712558335.198,527,377
1712558336.200,527,377
1712558337.202,527,377
1712558338.204,527,377
1712558339.206,527,377
1712558340.207,527,377
1712558341.209,527,377
1712558342.211,527,377
1712558343.213,527,377
1712558344.215,527,377
1712558345.217,527,377
1712558346.218,527,377
1712558347.220,527,377
1712558348.239,527,377
1712558349.241,527,377
1712558350.242,527,377
1712558351.244,527,377
1712558352.246,527,377
1712558353.248,527,377
1712558354.250,527,377
1712558355.251,527,377
1712558356.253,527,377
1712558357.255,527,377
1712558358.257,527,377
1712558359.259,527,377
1712558360.261,527,377
1712558361.262,527,377
1712558362.264,527,377
1712558363.266,527,377
1712558364.268,527,377
1712558365.270,527,377
1712558366.272,527,377
1712558367.273,527,377
1712558368.275,527,377
1712558369.277,527,377
1712558370.279,527,377
1712558371.281,527,377
1712558372.283,527,377
1712558373.285,527,377
1712558374.287,527,377
1712558375.288,527,377
1712558376.290,527,377
1712558377.292,527,377
1712558378.294,527,377
1712558379.296,527,377
1712558380.298,527,377
1712558381.300,527,377
1712558382.301,527,377
1712558383.303,527,377
1712558384.305,527,377
1712558385.307,527,377
1712558386.309,527,377
1712558387.311,527,377
1712558388.313,527,377
1712558389.314,527,377
1712558390.316,527,377
1712558391.318,527,377
1712558392.320,527,377
1712558393.322,527,377
1712558394.324,527,377
1712558395.326,527,377
1712558396.327,527,377
1712558397.329,527,377
1712558398.331,527,377
1712558399.333,527,377
1712558400.335,527,377
1712558401.337,527,377
1712558402.338,527,377
1712558403.340,527,377
1712558404.342,527,377
1712558405.344,527,377
1712558406.346,527,377
